Boa	Female	Person	KR	j-pop,k-pop,Korean,japanese,JPop,pop,female vocalists,BoA,Kpop,anime,dance,female vocalist,Asian,electronic,Korean Pop,rnb,japan,female,rock,J-rock,Korea,Japanese pop,Japanese music,avex,Soundtrack,J-music,sm town,boa kwon,alternative,Hip-Hop,k-music,sm entertainment,electropop,sexy,seen live,indie,dance-pop,00s,Ballad,hot,female vocal,best,jrock,south korean,Love,easy listening,r&b,english,south korea,Asian Pop,electronica,diva,asia,Kwon BoA,punk,Queen,solo,anime soundtrack,anime ost
Charisma.com		Group	JP	japanese,electronic,Hip-Hop,j-pop,female vocalists,pop,electronica,electropop,rap,dance,hip hop,alternative,electro,JPop,10s,electro-pop,Asian Pop,seen live,indie,House,Electro Pop,Asian,japan,female vocals,underrated,dance pop,duo,fuck yeah,2010s,electrorap,kanagawa,Japanese pop,All,j-urban,cheap,pop dance,hip house,House Pop,J-music,hip-house,hard electro,Under 10000 Listeners,japanese female vocalists,Pop House,2010s pop,LastfmSC,j pop,lololol,j-mix,marshmallow,better than one direction,better than david guetta,10s pop,j-electropop,japanese girl bands,japanese girl duos,whack as fuck,qt rap,10s j-pop
マキシマム ザ ホルモン		Group	JP	J-rock,hardcore,japanese,J-Metal,punk,metal,alternative metal,Nu Metal,metalcore,rock,alternative,punk rock,jrock,crossover,anime,death note,funk,hardcore punk,pop punk,Nu-metal,J-Punk,experimental,japan,japanese rock,rapcore,hard rock,Awesome,j-hardcore,alternative rock,post-hardcore,seen live,thrash metal,Soundtrack,heavy metal,funk metal,screamo,maximum the hormone,anime soundtrack,Japanese music,anime ost,male vocalists,Funk Rock,groove metal
아웃사이더				
倖田來未	Female	Person	JP	j-pop,japanese,female vocalists,JPop,pop,Koda Kumi,dance,rnb,Japanese music,japan,sexy,female,Japanese pop,Asian,j-urban,female vocalist,anime,r&b,Kumi Koda,avex,hot,final fantasy,avex trax,Kumi,Hip-Hop,J-music,koda,urban,J-rock,slutty,j-rnb,Ballad,Asian Pop,diva,shine-star is gay,Fierce,cute,Kuu,electronic,Queen,techno,amazing,game,asia,hbic,Awesome,female vocals,whore,jrock,<3,rhythm zone
Aldaspan				
Sug		Group	JP	J-rock,oshare kei,visual kei,japanese,PS Company,jrock,rock,SuG,seen live,male vocalists,heavy positive rock,japanese rock,J-Indie,japan,j-pop,indie,pop rock,fun,takeru,oshare-kei,<3,kawaii,Indies,alternative rock,pop punk,Asian,Visual-kei,cronowish power,emo,favorites,Awesome,Energetic,gay,amazing,j-indies,valkyriex powerr,valkyreiex power,unforgettable songs from when i was a teenager,haruka,harukaex,harukaex s2i,valkyriex power,HarukaEX S2,valkyriex loves,valkyeriex loves,Scryed Edward Tracks Power,suavesfabio power,valkyriex love,harukaexS2,valkyeriex power,electronic,male,pop,hard rock,dance,epic,melodic,party,original,Japanese Indie,Favourites,Love it,Favourite Songs,Japanese music,Japanese pop,J-music,Jmusic,respect,chiyu,yuji,pony canyon
Chthonic	Male	Person		black metal,Symphonic Black Metal,melodic black metal,taiwanese,metal,seen live,symphonic metal,taiwan,folk metal,Melodic Death Metal,Extreme Metal,oriental metal,Gothic Metal,Taiwanese black metal,taiwanese metal,symphonic,video game music,Dark metal,asian metal,taiwanese melodic black metal,Asian,death metal,chinese,Black,video games,Blackened Death Metal,ocremix,sympho black metal,Taiwan Metal,game remixes,video game remixes,erhu,asian black metal,Gothic,game,melodic metal,OC ReMix,Folk Symphonic Black Metal,chinese metal,taiwan black metal
Mashrou' Leila		Group		lebanese,arabic,indie rock,folk,rock,indie,Lebanon,seen live,chillout,vocal,pop,chill,alternative,world,guitar,bass,lounge,violin,Chillosophy,Asian,keyboard,percussion,check later,lute,All,arabic pop,mediterranean,lebanese pop,global fusion,tarab,etno,check-out,arabic rock,hairy chest,Libanon,The Countdown,lebanese music,lubnan,indie rock lebanese,A ouvir,chill906,hatter,Lebanese Indie,lebanese bands,lebanese singers,lebanese rock bands,pop lebanese,lebanese pop music,lebanese indie pop,Bedany
宇多田ヒカル	Female	Person	JP	j-pop,japanese,female vocalists,JPop,pop,utada hikaru,japan,Japanese music,Utada,singer-songwriter,anime,rnb,J-rock,female vocalist,female,Asian,hikki,Japanese pop,r&b,dance,Soundtrack,J-music,Kingdom Hearts,electronic,hikaru utada,00s,rock,jrock,Ballad,favorites,hikaru,Love,video game music,Awesome,90s,game,electronica,experimental,beautiful voices,alternative,piano,easy listening,Favorite Artists
Voxtrot		Group	US	indie,indie pop,seen live,indie rock,alternative,twee,rock,austin,american,pop,texas,alternative rock,voxtrot,USA,male vocalists,favorites,twee pop,catchy,folk,Lo-Fi,britpop,pop rock,indiepop,fun,best of 2006,Awesome,00s,experimental,happy,cute,Mellow,cool,powerpop,alternative pop,want to see live,to check out,Happy Music,if this were a pokemon i would catch it,driving around really fast and being awesome,you make me happy and I love you for that,singing along loudly,electronic,Love,beautiful,summer,Favorite Artists,lovely,check out,indie pop rock,Austin TX,american indie
YUKI	Female	Person	JP	j-pop,japanese,female vocalists,pop,JPop,YUKI,J-rock,anime,rock,japan,cute,female vocalist,Japanese music,female,electronic,alternative,singer-songwriter,jrock,japanese female vocalists,J-music,Judy And Mary,metal,shoegaze,Japanese pop,Asian Pop,japanese girls,Soundtrack,electronica,experimental,indie rock,Love,new wave,beautiful,Asian,female vocals,00s,Favorite,touhou,doujin,pops,doujin ongaku,valkyriex powerr,kirakira,hokkaido,valkyriex power,suavesfabio power,valkyriex love
Yeng Constantino	Female	Person	PH	philippines,pop,OPM,Filipino,rock,pokpok,Kapamilya,chillout,indie,female vocalist,guilty pleasure,All,phi isf,Regine,pinoy dream academy,isf2009,bakya,Adyssingkala,philippinese,coloured hair
My Chemical Romance		Group	US	rock,emo,alternative,punk rock,punk,seen live,alternative rock,screamo,my chemical romance,pop punk,post-hardcore,american,indie,emocore,not emo,mcr,metal,hardcore,pop,indie rock,pop rock,shit,favorites,new jersey,gay,male vocalists,Officially Shit,emo punk,hard rock,USA,Awesome,Crap,Love,00s,Emo rock,Pop-punk,wristslitters,post hardcore,classic rock
Lee Hi	Female	Person	KR	k-pop,Korean,soul,Kpop,pop,rnb,yg family,female vocalists,r&b,female vocalist,south korea,Korea,k-pop star,female,jazz,blues,Asian,female vocals,female singer,2012,10s,2010s,Korean Pop,amazing voice,2010s pop,Asian Pop,YG Entertainment,korean female vocalists,10s pop,lee ha yi,lee hi,hayi,beaten by jimin,no stage presence
Screw		Group	JP	visual kei,J-rock,japanese,PS Company,jrock,rock,seen live,screw,metal,J-Metal,indie,alternative metal,japanese rock,japan,male vocalists,J-Indie,Indies,instrumental hip-hop,nagoya kei,japanese metal,alternative,PSC,metalcore,experimental,hard rock,screamo,beats,00s,industrial metal,Nu Metal,FUCKING AWESOME,<3,Japanese music,angura kei,visual indies,Visual-kei,VK,My favourite bands,v-rock,music for the gods,Audio for the gods,indie psc
WHOwho (후후)				
Thrice		Group	US	post-hardcore,rock,seen live,hardcore,emo,punk,alternative,screamo,alternative rock,experimental,emocore,punk rock,post hardcore,indie,melodic hardcore,metal,Experimental Rock,thrice,Progressive rock,american,metalcore,indie rock,hard rock,Progressive,christian,art rock,California,post-rock,pop punk,hardcore punk,favorites,electronic,USA,acoustic,alternative metal,folk,Awesome,Favorite
Mayday		Group	CA	indie,Saddle Creek,indie rock,seen live,hardcore,punk,folk,metalcore,techno,metallic hardcore,hip hop,rock,House,chinese,Nebraska,NWOBHM,holy terror,Grunge,USA,electro,sadcore,underground rap,90s,american,detroit,punk rock,underground hip hop,acid house,Omaha,streetpunk,Saddle Creek Records,90s metalcore,metal,Hip-Hop,electronic,rap,dance,canada,favorites,folk-rock,soft rock,Canadian,underground hip-hop,Drum and bass,español,Acid,hiphop,thrash,AOR,detroit techno,Asian,not indie,00s,post-grunge,must listen,hardcore punk,China,taiwan,experienced live,legend,Chinese Pop,taiwanese,Ragga Jungle,Oi,Strange Music,mayday,acid techno,Hard-Rock,so fucking good,antifascist,c-rock,asian music,asian rock,90s Hardcore,none,Asian Pop,Tech N9ne,integrity,live erlebt,largeheartedboy,mando rock,awesomeness like whoa,bands I should listen to more,bands I :LOVE: like whoa,Hard-FM,ukrainian grunge,strange music inc,shoagaze,Mr Toxic,chinese pop-rock
L'Arc~en~Ciel				
Younha	Female	Person	KR	j-pop,Korean,k-pop,japanese,JPop,female vocalists,pop,anime,Kpop,Younha,Bleach,female vocalist,J-rock,rock,Japanese music,female,piano,Asian,japan,Japanese pop,Soundtrack,k-rock,k-music,Pop-Rock,pianist,Korean Pop,pop rock,favorites,jrock,anime ost,J-music,HarukaEX S2,beautiful,Ballad,valkyriex powerr,valkyreiex power,Asian Pop,unforgettable songs from when i was a teenager,japanise vocalist,haruka,harukaex,harukaex s2i,valkyriex power,cronowish power,valkyriex loves,valkyeriex loves,Scryed Edward Tracks Power,suavesfabio power,valkyriex love,harukaexS2,valkyeriex power,sexy,solo,ost,Favorite Artists,soft,japanese rock,rnb,krock,female vocals,00s,Female Voices,anime soundtrack,Korea,pretty cool,amazing voice,things i like,my favorite k-music artists,korean music is sugar,k pop,Korean Girl,kick-ass chicks
NoGoD		Group	JP	visual kei,J-rock,japanese,heavy metal,alternative rock,metal,alternative,japan,rock,jrock,depressive funeral black metal,metalcore,Progressive metal,male vocalists,Nu Metal,J-Metal,black metal,seen live,sexy,hard rock,Progressive rock,industrial,funk,speed metal,JPop,industrial rock,alternative metal,industrial metal,post-hardcore,j-pop,Power metal,god,atmospheric black metal,japanese metal,jmetal,Visual Rock,king records,fix,funeral black,kote kei,perfect band,NoGoD,art pop entertainment,Visual Metal,makes me go asdfghjkl,J-Rock MP3 on Amazon,j-rock on spotify
Bigbang		Group	KR	seen live,norwegian,rock,k-pop,big bang,alternative rock,Korean,indie,norsk,Kpop,BigBang,pop,alternative,Hip-Hop,blues,blues rock,Norway,norwegian rock,electronic,scandinavian,indie rock,male vocalists,dance,acoustic,classic rock,rap,Progressive rock,j-pop,g-dragon,Roskilde 2007,roskilde 07,k-pop hiphop,jazz,00s,male vocals,scandinavia,Bands I have seen live,Norge,All,DaeSung,YG Entertainment,k-pop korean hip hop,chillout,chill,80s,punk,folk,hard rock,Love,blues-rock,Awesome,rnb,norwegian jazz,Smooth Jazz,male vocalist,Southern Rock,boyband,Kings,yndug,seungri,YG,ambiguous artist name,haru haru,hip hop,Stoner Rock,world,top,Asian,k-hiphop,4,10s,south korea,bergen,goil,seen twice,sett live,Stuff I Have Seen Live,Check it out,trilingual,Tronder-rock,Easy Jazz,been there,taeyang,pdr,pedras,storaas,should be more popular,Artists I have seen Live,seen lie,basic rock,boy group,Sami Joik,Mr Kinskis Favourites,glitterhouse,storasfestivalen 2007,scandinavian music thats not metal,digg,gdragon,mine favoritter,live-music
COMEBACK MY DAUGHTERS				
Tasha				Korean,Hip-Hop,rnb,k-pop,female vocalists,soul,hip hop,k-hiphop,Disco,80s,rap,Italo Disco,Kpop,tasha,K-hip hop,pop,chill,sexy,singer-songwriter,techno,Drum and bass,africa,Mellow,female vocals,cool,female vocalist,K-RAP,Neo-Soul,addicting,eurobeat,Rap and Hip-Hop,female rap,My favorite artists,pretty cool,Korean Hip-Hop,female rapper,k-urban,OG,really fucking good,asian music,k-hop,k-rnb,korea makes rap listenable,khiphop,RnB Chiqs,raepaetaedit,ronxi,oh god its so fucking incredible,siiiick,musical journey to the ends of time,the mother of Jodan,boss woman,queen and first lady of korean hip hop
First Aid Kit		Group	ES	folk,seen live,swedish,indie,female vocalists,dream pop,indie folk,indie pop,acoustic,Sweden,scandinavian,pop,alternative,singer-songwriter,country,LastfmSC,Alt-country,folk pop,spanish,stockholm,sisters,electronic,indie rock,americana,folk rock,female vocalist,00s,duo,electronica,harmonies,siblings,female vocal,svenska,Scandinavian Girls
Less Than Jake		Group	US	ska,seen live,ska punk,punk,punk rock,rock,ska-punk,pop punk,alternative,american,less than jake,indie,skacore,emo,florida,alternative rock,skapunk,pop,fun,Pop-punk,third-wave ska,hardcore,USA,favorites,skate punk,punk ska,90s,gainesville,Awesome,third wave ska
Radiohead		Group	GB	alternative,alternative rock,rock,indie,electronic,seen live,british,britpop,indie rock,experimental,radiohead,Progressive rock,90s,art rock,electronica,Experimental Rock,post-rock,psychedelic,UK,pop,ambient,favorites,overrated,melancholic,Progressive,00s,male vocalists,Awesome,english,chillout,beautiful,genius,indie pop,trip-hop,melancholy,classic rock,emo,idm,better than radiohead
DJ-JO	Male	Person		electronic,remix,anime,videogame,vocaloid,remixer
平野義久	Male	Person	JP	Soundtrack,instrumental,japanese,anime,composer,death note,Classical,anime soundtrack,orchestral,ost,piano,orchestra,japan,composers,score,Ouran High School Host Club,pop,alternative,ambient,violin,Asian,dark ambient,film score,music composer,chillout,electronic,chill,rock,classic,alternative rock,post-rock,epic,new age,Soundtracks,lounge,atmospheric,contemporary classical,new,melancholy,Chillosophy,male vocalists,game,J-rock,video game music,film music,neoclassical,boys choir,chorus,anime ost,Original Soundtrack,sountrack,Anime music,global fusion,arrangement,strawberry panic,kansai,orchestral rock,as,asian music,Television Music,meine liebe,Anime Score,Azn,2009-2010,asie,Beyblade,wakayama,midori no hibi,Midori Days,Doki Doki School Hours,Seven of Seven,chill906,Japonsko,vychodni asie,need to find to rate,theme of L
Taking Back Sunday		Group	US	emo,rock,seen live,alternative,punk,indie,punk rock,alternative rock,screamo,taking back sunday,pop punk,indie rock,emocore,post-hardcore,hardcore,american,tbs,favorites,Pop-punk,pop rock,metal,wristslitters,pop,Awesome,Love,Favorite,new york,amazing,Long Island,post hardcore,Emo rock,acoustic,metalcore,Officially Shit
ESTi x TAK feat. Sanch				
王若琳	Female	Person	TW	jazz,taiwan,chinese,singer-songwriter,female vocalists,Joanna Wang,taiwanese,pop,indie,female,Bossa Nova,acoustic,C-pop,00s,english,mandarin,China,seen live,vocal,alternative,indie pop,Love,blues,great voice,cpop,bossa-nova,basanova,Chinese Jazz
Lindi Ortega	Female	Person	CA	singer-songwriter,Canadian,country,female vocalists,indie,folk,seen live,Alt-country,alternative,acoustic,pop,pop rock,canada,americana,folk rock,singer-songwriters,female,favorites,cute,contemporary folk,guitar,mexico,Mellow,country pop,modern country,pop country,female artists,border,ireland,vocalist,10s,female singer-songwriter,folky,sxsw 2011,linda,kgrl,canadians,modern folk,acoustic pop,from: canada,vox,schlau machen,listen more,hermosa,bella,vorgemerkt,acustica,a long red glare,discovered on myspace,kevin cryderman,Real female thing,ortega,prio2,tm: girls,tm: botd,pickathon 2016
張惠妹	Female	Person	TW	chinese,taiwan,pop,female vocalists,mandarin,C-pop,taiwanese,cpop,female,Asian,Chinese Pop,amei,A-Mei,rock,female vocalist,Ballad,taiwaness,mandopop,Asian Pop,TW-pop,seen live,pop rock,female vocals,China,Chinese Music,vocal,diva,All,c-rock,mando pop,taiwanese pop,puyuma,aboriginal taiwanese,aborigines,a mei,electronica,soul,japanese,instrumental,folk,experimental,sexy,indie rock,post-rock,dance,C,Love,adult contemporary,singer,gay,my love,r and b,death metal,favourite,00s,alternative pop,female vocal,Pop-Rock,10s,2010s,girl power,poprock,asia,x,Hong Kong,M-pop,Brit-pop,sexy female vocals,Oi,Legendary,female voice,aboriginal,rock ballads,idol,gothpop,00s pop,bitch,pretty cool,chinese rock,gothic pop,favorite vocals,superstar,Pop Folk,why is last fm recommending this shit to me,Loved Artist,asian music,checklist,pop ballads,red haired,2010s pop,hot hot hot,elysianyx,manderin,my lover,111,chinese female,Taiwan POP,chinese vocal,Chinese female vocalists,00s asian pop
MGMT		Group	US	electronic,indie,psychedelic,alternative,indie pop,seen live,indie rock,synthpop,american,pop,rock,electronica,experimental,indietronica,electropop,Psychedelic Rock,Neo-Psychedelia,mgmt,psychedelic pop,electro,alternative rock,00s,new york,dance,synth pop,male vocalists,USA,indie electronic,new rave,post-punk,Brooklyn,indie electro
